task,n_steps,eligible_immediate_pairs,all_history_exposures,result_status,score,length_stratum,task_stratum,task_goal,traj_path,traj_sha256
ChangeWallpaperTask,8,7,28,success,1.0,short_02_15,success__short_02_15,Change the wallpaper to a photo from the album that features sunflowers.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/ChangeWallpaperTask/traj.json,59f39062e49d3091de0b86a41d297c43443a841a76bbf81faa4aa81c1ddb2e77
CheckCartPriceTask,45,44,990,failure,0.0,long_35_50,failure__long_35_50,"Find the three most expensive items in the TaoDian app shopping cart and calculate their total price. Respond only with an integer representing the total price, with no other text.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckCartPriceTask/traj.json,2081ff0f07e0d67109e0d5d798b3052dc1415261dcbeae4adcccff42ab12ba03
CheckConferenceAndSendSmsTask1,12,11,66,failure,0.0,short_02_15,failure__short_02_15,"Check my calendar and send an SMS notification to Mia with the dates of my arrival and departure from Paris. The message should contain only the two dates in MM/DD/YYYY format, separated by a comma.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckConferenceAndSendSmsTask1/traj.json,32e3a66053cb52188f233c3368cb92e0d63ee82a4d91439bb0227a345aab3bc3
CheckConferenceAndSendSmsTask2,14,13,91,failure,0.0,short_02_15,failure__short_02_15,"Check my calendar and send an SMS notification to Mia with the dates of my arrival and departure from Tokyo. The message should contain only the two dates in MM/DD/YYYY format, separated by a comma.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckConferenceAndSendSmsTask2/traj.json,7e75bbc0cc6e715a97e285bd89db7c701db6b54f10f36186b429e597a18d3939
CheckConferenceDurationTask,2,1,1,success,1.0,short_02_15,success__short_02_15,How many days of conference meetings did I schedule in October?,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckConferenceDurationTask/traj.json,19d0bf138b80fd7cd9b7d9ce9965d8198f69e8c0935c2918c81a1914d6eca990
CheckConferenceLocationTask,20,19,190,failure,0.0,medium_16_34,failure__medium_16_34,"Check my email for the location of the MCFT conference hotel, then text the address to Tom (4456547865).Use Google maps to tell me how long it would take to walk from the MIT Stata center to there. Only response the time in minutes. No other text.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckConferenceLocationTask/traj.json,ac3a431d17d15b56ed6f3a8bf61a107a8a56c1730918078dd7ab93357fb0631d
CheckDeduplicatedEventsTask,2,1,1,success,1.0,short_02_15,success__short_02_15,"How many deduplicated events are there in the calendar, from October 20 to October 26?",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckDeduplicatedEventsTask/traj.json,4e3bc4f1b43ea84575748694d2e3e22c83d836f2b3919f92d828d471612d893a
CheckDepartTimeTask,11,10,55,success,1.0,short_02_15,success__short_02_15,"Check if I've received an email about the depart time for the CoolHacks hackathon.If not, text Carl (345 6784 3456) 'Do you know what time we're leaving tomorrow?'",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckDepartTimeTask/traj.json,ad433a43eeea4babb88f99fe81f04cc7d5e6f30aa1d6f22339ad76c00d31a197
CheckEventTimeTask,16,15,120,success,1.0,medium_16_34,success__medium_16_34,Check my email for the time of the Christmas party today. Set an alarm for one hour before then.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckEventTimeTask/traj.json,d943f33e2a006f884ae6dde0b871c8173fad8d6034be0e3f5a1d4c7ab2cd2331
CheckGithubInfoTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"Please check the number of stars and contributors on the AndroidWorld GitHub repository, then send an email to kevin_zhang@example.com with the subject line ""AndroidWorld Repository Stats"" and the following message body:
There are XXX stars and XXX contributors in the AndroidWorld repository.

Replace ""XXX"" with the actual numbers you find.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckGithubInfoTask/traj.json,118ecae17ffcf472510de163baf95e7a3421fa51e75b884bef1116559a69ab7c
CheckInterviewTimesTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,Check my email for any job interviews I have in November.Set calendar events for each of them. Use the company name as the title and the interview time as the start and end time.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckInterviewTimesTask/traj.json,d91ebfbee7557a6e784cbf38c07f7297d07d66ffa0e86c611e1a3ba87d6fb526
CheckInvoiceTask1,3,2,3,success,1.0,short_02_15,success__short_02_15,"Read the invoice PDF file in the download directory. The customer has notified that payment will be made 45 days after the due date. Please recalculate the total amount payable and respond with only a single number representing the total amount, with no other text.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckInvoiceTask1/traj.json,4c6e27bcfaf15207ad019a54cb08eb6e29ccbe9a8dc27db3b066412bf210e70b
CheckInvoiceTask2,26,25,325,failure,0.0,medium_16_34,failure__medium_16_34,Read the invoice PDF file in the download directory. The customer has notified that payment will be made 45 days after the due date. Please recalculate the total amount payable and forward the result number to the customer via Email.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckInvoiceTask2/traj.json,5efc6b7991bf66688e46712771a9a597360bab4bb8beb2cd514a1456c47ccdea
CheckInvoiceTask3,13,12,78,success,1.0,short_02_15,success__short_02_15,Read the invoice PDF file in the download directory. Send a SMS to Mia and report how many hours of the Consulting Services larger than Software Development hours.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckInvoiceTask3/traj.json,14de9df258845e13137363a6677211b9b67999dcf123459785efe9ac612153f1
CheckPuchasedItem,6,5,15,success,1.0,short_02_15,success__short_02_15,"之前我给朋友在淘店上买了一双鞋，帮我看一下他脚多少尺码。请只回答一个整数, 不要返回任何其他文本.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckPuchasedItem/traj.json,d1657137dc6c925c63153eb07d4a1babefd4ebfc4034882a5558a6317115373c
CheckRegistrationTask,13,12,78,success,1.0,short_02_15,success__short_02_15,"Check my email for Putnam registration confirmation.If no such email exists, email kathy@gmail.com asking about it with the subject 'Putnam Registration Confirmation'",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckRegistrationTask/traj.json,b7f97764861117ed360c136c3a7e716aa79d1168a578ec0d0fd38592a9639bfe
CheckSetMeetTimeTask,30,29,435,failure,0.0,medium_16_34,failure__medium_16_34,"Check my email for the date and time of my meeting with Carl.Then, set a one hour calendar event titled 'Board Meeting'",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckSetMeetTimeTask/traj.json,f95b2b146c8cbb785fa9b613ac2459cb647bccb6e46eb88b8889f636e9667796
ChromeSearchBeijingWeatherTask,9,8,36,success,1.0,short_02_15,success__short_02_15,Use Chrome to search for Beijing highest temperature today. ONLY give a integer number denoted Celsius degree.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/ChromeSearchBeijingWeatherTask/traj.json,b6f4fb0b32bfa2191ca6356c5ba3e69072c5112741c37d57e35ed3ec4768ea84
CloseFlightModeTask,4,3,6,success,1.0,short_02_15,success__short_02_15,Turn off device flight mode,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CloseFlightModeTask/traj.json,d15df690f0f6a36af511187e2e1df5d503bfa747a0ef13f5c2a719c411f06a1e
CountFileLinesTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"Check the file_1.txt inside the earliest zip file from July in the Downloads directory and count how many lines it contains. Respond only with an integer representing the line count, with no other text.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CountFileLinesTask/traj.json,d1ca8b6e1259776b33a3bba38b65c7b8ecdbd4ed9fc2c19b9526ca6a1b44ee65
DownloadSendReceiptTask,36,35,630,failure,0.0,long_35_50,failure__long_35_50,"Look for a file in my email titled 'receipts.jpg' and download it.Then, send it to to treasurer@gmail.com with the subject 'Proof of purchase', the email should mention the total amount spent in the email.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/DownloadSendReceiptTask/traj.json,3ea99e92e65ceaa7e193a010c7803acf857991c65725100cd1a8a601d1c2ed20
GoogleMapsAlibabaPhoneContactTask,21,20,210,success,1.0,medium_16_34,success__medium_16_34,"Find the phone number of Alibaba's Hangzhou headquarters on the google map, and based on that, create a new contact named Kevin Zhang with the company.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/GoogleMapsAlibabaPhoneContactTask/traj.json,d6336d20b76f8439d2432d219530aed0b6c3b676741ec044561967828afe6fe6
GoogleMapsAlibabaSouthNeighborTask,13,12,78,success,1.0,short_02_15,success__short_02_15,Open Google Maps and find which company is directly south of Alibaba Hangzhou headquarters in Binjiang District. ONLY output the company name in English.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/GoogleMapsAlibabaSouthNeighborTask/traj.json,f3a1507663957c16bb992ba5aa3c1b821acbdecabc7d71ef19a6bf15af19ae4a
GraduationMassEmailTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"Search up the UF academic calendar and find out the week that grades are due in the Spring 2026 semester.Then, set a calendar event at 6pm on the Saturday of that week titled 'Graduation Party'Search my email for the list of students graduating from the math department this year.Send an email to all the graduates with the subject 'Graduation Party' and body 'Don't forget about this year's graduation party! More details coming soon.' ",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/GraduationMassEmailTask/traj.json,315f37bda147b50d3dde98c4afb97bc923533a9e952ecd78d691601ecbd297e6
InvoiceReceiptCopyAskUserTask,22,21,231,failure,0.0,medium_16_34,failure__medium_16_34,在Download里找到11月内文件名包含invoice或者receipt的PDF复制进我专门用来收录发票和收据的文件夹。,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/InvoiceReceiptCopyAskUserTask/traj.json,a70dc62efc9a8297c4476df2e959df687e788a658cd435c5359ebdfc12392436
InvoiceReceiptCopyTask,13,12,78,success,1.0,short_02_15,success__short_02_15,在Download里找到11月内文件名包含invoice或者receipt的PDF复制进Finance/invoice文件夹。,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/InvoiceReceiptCopyTask/traj.json,93ba10b1d0c460c841002f4af14e3a9b3a83a5d65c2320d43541531d4137d749
ItemCheckoutTask,20,19,190,failure,0.0,medium_16_34,failure__medium_16_34,帮我在淘店下单购物车里的iphone 15 pro，寄到浙江省杭州市余杭区阿里巴巴西溪C区，收件人张先生，收件人电话13800138000。如需登录，可以通过短信验证码。在支付页面让我操作,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/ItemCheckoutTask/traj.json,93f3c3d82c59b1d4ab0fb8b7dcf030b15f5355f6b6fd070223f5ced077c8bc9e
LocalFileManagementTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"I'm running out of space, can you check my files and delete zip files that are older than 1 year in my Download folder. Send myself on mattermost the list of deleted files just for record",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/LocalFileManagementTask/traj.json,9c3ac14381fa81a82dbcb3e6b4233f458245d487ca80677c197646b3cde0c159
LocalFileManagementTask2,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"There are too many files in my download folder, can you check my files and compress files that are older than 1 year in a single `old_files.zip` file. Delete the files after compression. Send myself an email with the list of deleted files just for record",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/LocalFileManagementTask2/traj.json,0ea52248af6f4b129f232515bbdaa2c65cdbea42864200b4977e441dd8c0947d
MastodonAddBookmarkTask,37,36,666,failure,0.0,long_35_50,failure__long_35_50,"In Mastodon, add all posts of user kitty that have #cats tag to bookmarks.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonAddBookmarkTask/traj.json,65e2c1d5ab3b8c30f75a1ea671552f81d406af14a0530bf4c58b653b2e5c0f83
MastodonAddFeaturedHashtagsTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"On Mastodon, add some hashtags as my featured hashtags in my profile, add the hashtags: summerrain, nature, and photography.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonAddFeaturedHashtagsTask/traj.json,2c3e5cb2599b311423fe57785310a518162c3f3b50bf9925a58f1edf04273312
MastodonAdjustTootsTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"On Mastodon, remove all bookmarks and add them as favorites, and boost all of them.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonAdjustTootsTask/traj.json,6ac75974d7c6b7201d7a0cdefde998c3a422d4c7ecbf7a06782d0113d1bfdce1
MastodonCalendarMultiMemosTask,27,26,351,failure,0.0,medium_16_34,failure__medium_16_34,"On Mastodon, find lectures in the #openTalk hashtag for the current month, then add the lecture information (time, location, topic) to the calendar events. If the start time is within 10 days, set the reminder time to 1 day before. Otherwise, set the reminder time to 3 days before the start time.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonCalendarMultiMemosTask/traj.json,b6ccd57ea1373915ac2d7354d8213a42a5af88789a9e8858d5d8dd150a831fc1
MastodonChangeHeaderTask,7,6,21,success,1.0,short_02_15,success__short_02_15,"On Mastodon, replace my profile header with the tiger photo from my photo gallery.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonChangeHeaderTask/traj.json,d5de360f428610fcca8f6fa6582294733c6fa3c15f8644996f8fdef64d967670
MastodonChangeLanguageTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"In Mastodon, set the language of the account to Chinese Simplified.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonChangeLanguageTask/traj.json,a4e245828420fb8fa27ead6762d6116833da847230fd5896440577f0f9169617
MastodonConditionalFavoTask,41,40,820,success,1.0,long_35_50,success__long_35_50,"favorite all toots tagged “#dogs” on Mastodon, but do not add them to my favorite list if they are already in my favorite list or bookmark list.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonConditionalFavoTask/traj.json,59ba8c7944d564d3e998a0910df787e146ddd85082374a029ed25d667899e415
MastodonCreateListTask,24,23,276,success,1.0,medium_16_34,success__medium_16_34,"Create a list called ""Family,"" only followed users can reply, and add my family members — Alex, Emma, and Jack",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonCreateListTask/traj.json,9b47391387057b6cf98bbdb06842458f82bd7a222e2376a165d4724ede4bdc47
MastodonCreateMemoTask,47,46,1081,failure,0.0,long_35_50,failure__long_35_50,"Find information under #openTalk on Mastodon about the topic of Urban Mobility lectures, then create a event on my calendar with time, location, and topic as title, and set a reminder 1 day before.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonCreateMemoTask/traj.json,da27e197a4f08a8e3a65545b3369ca6ec47e0273789cfaa2a33982b4c882b40e
MastodonExportFollowsTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"In Mastodon, export my follows in settings and save it as my_following.csv.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonExportFollowsTask/traj.json,b755f53d2f354580e846fce48172c28bcd8922374bc1177ed82813abdf67b8ec
MastodonFavoriteTootsTask,33,32,528,success,1.0,medium_16_34,success__medium_16_34,"Search for toots tagged “#dogs” on Mastodon, favorite all of them.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonFavoriteTootsTask/traj.json,6248e645158f62a3f2d8ee2fe585dc87b86ec727c10d724e2b72d256f7f1d53a
MastodonFilterLanguageTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"On Mastodon, set up filters to only show posts in English, Japanese, and Chinese Simplified.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonFilterLanguageTask/traj.json,955fa636b463d7bf54b48d156c2374ee3d7d57f4fc53997b492a3b2d9adc30e0
MastodonFollowTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"Find Robert's nickname in Contacts, then search it on Mastodon, and follow him.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonFollowTask/traj.json,e8850134f6bca4397ba1dc6accba41f3721455417127cea28057dc490dcb3273
MastodonGetServerInfoTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"On mastodon, switch to owner account, then go to settings backend to query the database size, and post a toot to tell the result, use MB as the unit",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonGetServerInfoTask/traj.json,d93ca66bbf547057b8bc24d43677d098adcbebbc88e9a4beba34bbe32512defa
MastodonImportMutedUsersTask,20,19,190,failure,0.0,medium_16_34,failure__medium_16_34,"In Mastodon, import my muted list from the file named 'muted_accounts.csv' in the Downloads directory.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonImportMutedUsersTask/traj.json,db3695404cf7ffba3d935e982f751f4fc1c89934ece7f198d2bfc7a4a1a5e156
MastodonInviteTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"Generate a one-person invite link that expires in one day, auto-follows me, and send it to my friend Leonard by SMS.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonInviteTask/traj.json,0e80c59c8dceb47b60bf18372a1fb647b1b94507398482bf1604252f5afb4d7e
MastodonMallPurchaseCommodityTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"我在mastodon上关注的jack分享了一个商品,请你在淘店app下单购买2双同款，收货地址为：广东省广州市天河区华景新城，收货人李四，收货人电话13800139999。",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonMallPurchaseCommodityTask/traj.json,6f5e4ab51c11d71e50c3cbcb35e4c48b68c0d144e7cafe596226d066afa72450
MastodonMallShareOrderTask,22,21,231,failure,0.0,medium_16_34,failure__medium_16_34,"在淘店中,找到我的订单中的手表商品,然后在mastodon发布一条推文介绍商品,内容包括商品名称,购买价格和商品图片。",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonMallShareOrderTask/traj.json,0c9536b013eb36188d263737077e5f54fc790b416290251eefca41ce5e15b425
MastodonManageHashtagsTask,15,14,105,success,1.0,short_02_15,success__short_02_15,"In Mastodon, unfollow the hashtags I followed before related to animals.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonManageHashtagsTask/traj.json,f01fe5f05165f4953a2b329d7ab73ece68fe1061ca29dcaaebbb7a98bff60d47
MastodonManageMultiListTask,44,43,946,failure,0.0,long_35_50,failure__long_35_50,"View my lists on Mastodon, delete all previously created lists, and create two new lists. One list named 'open' should allow only I followed users to reply and add users, whose username contains 'open'. Another list named 'cute' should allow only members of the list to reply, enable hide members in following, and add users, whose avatar is a dog or cat.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonManageMultiListTask/traj.json,aa0cc99bb4877956efb831716c7a0288cfcbfc86c9f01d89ce113401bdec9b7a
MastodonMattermostPostNoticeTask,19,18,171,success,1.0,medium_16_34,success__medium_16_34,"Please help me sync the Security announcement from mike in the announcement channel on mattermost to mastodon, do not change the original content, the announcement is only visible to followers, and also @openCompany account.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonMattermostPostNoticeTask/traj.json,ae923a98fc552a7f029236f24c1ddcf5ed9c2bef5d09b4753720a23be4be2e88
MastodonMultiInviteTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"Generate two invite links with different conditions. One with validity days of 1 day and max uses of 1, send it to my friend Leonard by SMS. Another with validity days of 7 days and auto-follow me, send it to my friend Ella by SMS.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonMultiInviteTask/traj.json,108c4a7d5e6fb78763c9659208108fe77e982af54ebdd135d9b2cb980bdf2a77
MastodonNewFilterTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,"Add a new filter called “Anti-Spoiler-BCS”, use all the words from the text file named filter_BCS in the documents folder as blocked keywords, and set it to expire 5 days from today.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonNewFilterTask/traj.json,6857c5f4989e83c801254be92884d284ae1333e4163fd5d3d9d6c06c2a64b947
MastodonNewPostTask,6,5,15,success,1.0,short_02_15,success__short_02_15,Open Mastodon app and post a new toot with the content 'Hello from AI agent!',/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonNewPostTask/traj.json,93f3ee8c9550aba7b8209b0fdf193c3cdbcb0ce17283062adb28591e94856d58
MastodonOpenAutomatedDeletionTask,8,7,28,failure,0.0,short_02_15,failure__short_02_15,"In Mastodon, enable automatically delete old posts, only set pinned posts as expected, and set the age threshold to 7 days, Keep posts with at least 20 favs or 20 reblogs.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonOpenAutomatedDeletionTask/traj.json,314032c2454ce9c1de6ff86e479b01c720d4295b6a3e5058f26e00f80d6cf4f9
MastodonPinTootsTask,47,46,1081,failure,0.0,long_35_50,failure__long_35_50,"In Mastodon, pin the first post I published after creating the account to the top.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonPinTootsTask/traj.json,5dafcd4495a7c61f090bd0a12209184227f038eb7c817d45d0a03c7d126025a1
MastodonPostEditedPhotoTask,20,19,190,failure,0.0,medium_16_34,failure__medium_16_34,"Select a random photo from the gallery, crop it to a 9:16 ratio, and post it with the tag #onePhoto.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonPostEditedPhotoTask/traj.json,73eb90b721e97af3ff40d52ee84b89e32742acfbdca8a0ebccc81292d9e7c0be
MastodonPostPollTask,32,31,496,failure,0.0,medium_16_34,failure__medium_16_34,"Search on Google for the '2025 Nobel Prize in Economics' and use the names of the winners as the poll options. Post a poll on Mastodon with the hashtag '#vote2025', allowing multiple selections and lasting for one week.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonPostPollTask/traj.json,9ca674c2333f5868b5e70f8f7f2e9062035677dee2b924a4275e793587905857
MastodonRemoveBookmarkTask,4,3,6,failure,0.0,short_02_15,failure__short_02_15,"In Mastodon, remove the posts with #pets tag from bookmarks on my account.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonRemoveBookmarkTask/traj.json,3437963a6e0bf165ac04d172bb9ef2e52a7616aaee200fb3605744d4a989ffcd
MastodonReplyTask,31,30,465,success,1.0,medium_16_34,success__medium_16_34,"Reply to the toot of gourmet user about Greek food Moussaka, and the reply content should be 'Nice sharing, i love it'.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonReplyTask/traj.json,1f2fd903441f9ce3656786835ddf5579a1dfca89e4544e2e124ec7eb3f90f526
MastodonReportTask,45,44,990,failure,0.0,long_35_50,failure__long_35_50,"Report Frank’s post about “the gas leak event” for spam, include the whole post content as the report reason, and block Frank after submitting the report.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonReportTask/traj.json,8a74590ebc0f89e7cb054ef1c3a8b67a81699ff51d9e9556124d3236c3553bab
MastodonRevisePhotoAltTask,16,15,120,success,1.0,medium_16_34,success__medium_16_34,"please check the ALT content of the picture in the toot i posted about 'Impression, Sunrise' in Mastodon, if the author Monet is not mentioned, please add 'Author is Monet' to the first line",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonRevisePhotoAltTask/traj.json,ef2906a0deb78897b3af20e37bd94a130c2aa75fbf3f384cfbc93c60a4d69092
MastodonRevisePollTask,50,49,1225,failure,0.0,long_35_50,failure__long_35_50,Edit my Mastodon poll about which country has the largest area by removing the option “USA” and changing the option “Brazil” to “Canada.,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonRevisePollTask/traj.json,509bc7edaaaab6c039708352b1507942787cfe1afd4e5376f7bdf67304676e8b
MastodonSavePhotosTask,17,16,136,success,1.0,medium_16_34,success__medium_16_34,"Find the post that Alice published on October 5th on Mastodon, and save all the images to the phone.",/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonSavePhotosTask/traj.json,50ae27013b5c7232f48e6cf7698a64371586da707ddf78b4cab6354168611fec
