task,n_steps,score,result_status,task_goal,candidate_rows,FAILED_TRANSITION_ACK,LATER_FAILURE_ACK,LATER_SELF_CORRECTION,LOOP_LANGUAGE,NEAR_DUPLICATE_REASONING,REPEATED_ACTION,SELF_CORRECTION_EVIDENCE,STATIC_REPEATED_ACTION,UNSUCCESSFUL_TERMINAL_COMPLETION,traj_path,result_path
CheckConferenceAndSendSmsTask2,14,0.0,failure,"Check my calendar and send an SMS notification to Mia with the dates of my arrival and departure from Tokyo. The message should contain only the two dates in MM/DD/YYYY format, separated by a comma.",3,,,,,,2,,,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckConferenceAndSendSmsTask2/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckConferenceAndSendSmsTask2/result.txt
CheckConferenceDurationTask,2,1.0,success,How many days of conference meetings did I schedule in October?,0,,,,,,,,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckConferenceDurationTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckConferenceDurationTask/result.txt
CheckConferenceLocationTask,20,0.0,failure,"Check my email for the location of the MCFT conference hotel, then text the address to Tom (4456547865).Use Google maps to tell me how long it would take to walk from the MIT Stata center to there. Only response the time in minutes. No other text.",6,1,1,1,,,1,1,,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckConferenceLocationTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckConferenceLocationTask/result.txt
CheckDeduplicatedEventsTask,2,1.0,success,"How many deduplicated events are there in the calendar, from October 20 to October 26?",2,,,1,,,,1,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckDeduplicatedEventsTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckDeduplicatedEventsTask/result.txt
CheckDepartTimeTask,11,1.0,success,"Check if I've received an email about the depart time for the CoolHacks hackathon.If not, text Carl (345 6784 3456) 'Do you know what time we're leaving tomorrow?'",0,,,,,,,,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckDepartTimeTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckDepartTimeTask/result.txt
CheckEventTimeTask,16,1.0,success,Check my email for the time of the Christmas party today. Set an alarm for one hour before then.,2,,,1,,,,1,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckEventTimeTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckEventTimeTask/result.txt
CheckGithubInfoTask,50,0.0,failure,"Please check the number of stars and contributors on the AndroidWorld GitHub repository, then send an email to kevin_zhang@example.com with the subject line ""AndroidWorld Repository Stats"" and the following message body:
There are XXX stars and XXX contributors in the AndroidWorld repository.

Replace ""XXX"" with the actual numbers you find.",32,4,1,13,1,,7,13,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckGithubInfoTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckGithubInfoTask/result.txt
CheckInterviewTimesTask,50,0.0,failure,Check my email for any job interviews I have in November.Set calendar events for each of them. Use the company name as the title and the interview time as the start and end time.,16,1,1,4,,,6,4,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckInterviewTimesTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckInterviewTimesTask/result.txt
CheckInvoiceTask1,3,1.0,success,"Read the invoice PDF file in the download directory. The customer has notified that payment will be made 45 days after the due date. Please recalculate the total amount payable and respond with only a single number representing the total amount, with no other text.",2,,,1,,,,1,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckInvoiceTask1/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckInvoiceTask1/result.txt
CheckInvoiceTask2,26,0.0,failure,Read the invoice PDF file in the download directory. The customer has notified that payment will be made 45 days after the due date. Please recalculate the total amount payable and forward the result number to the customer via Email.,13,1,,2,,,9,2,6,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckInvoiceTask2/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckInvoiceTask2/result.txt
CheckInvoiceTask3,13,1.0,success,Read the invoice PDF file in the download directory. Send a SMS to Mia and report how many hours of the Consulting Services larger than Software Development hours.,2,,,1,,,,1,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckInvoiceTask3/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckInvoiceTask3/result.txt
CheckPuchasedItem,6,1.0,success,"之前我给朋友在淘店上买了一双鞋，帮我看一下他脚多少尺码。请只回答一个整数, 不要返回任何其他文本.",0,,,,,,,,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckPuchasedItem/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckPuchasedItem/result.txt
CheckRegistrationTask,13,1.0,success,"Check my email for Putnam registration confirmation.If no such email exists, email kathy@gmail.com asking about it with the subject 'Putnam Registration Confirmation'",7,,,3,,,1,3,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckRegistrationTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckRegistrationTask/result.txt
CheckSetMeetTimeTask,30,0.0,failure,"Check my email for the date and time of my meeting with Carl.Then, set a one hour calendar event titled 'Board Meeting'",12,,,5,,,1,5,,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckSetMeetTimeTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CheckSetMeetTimeTask/result.txt
ChromeSearchBeijingWeatherTask,9,1.0,success,Use Chrome to search for Beijing highest temperature today. ONLY give a integer number denoted Celsius degree.,2,,,1,,,,1,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/ChromeSearchBeijingWeatherTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/ChromeSearchBeijingWeatherTask/result.txt
CloseFlightModeTask,4,1.0,success,Turn off device flight mode,0,,,,,,,,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CloseFlightModeTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CloseFlightModeTask/result.txt
CountFileLinesTask,50,0.0,failure,"Check the file_1.txt inside the earliest zip file from July in the Downloads directory and count how many lines it contains. Respond only with an integer representing the line count, with no other text.",34,8,8,8,2,,1,8,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CountFileLinesTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/CountFileLinesTask/result.txt
DownloadSendReceiptTask,36,0.0,failure,"Look for a file in my email titled 'receipts.jpg' and download it.Then, send it to to treasurer@gmail.com with the subject 'Proof of purchase', the email should mention the total amount spent in the email.",8,1,,2,,,3,2,2,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/DownloadSendReceiptTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/DownloadSendReceiptTask/result.txt
GoogleMapsAlibabaPhoneContactTask,21,1.0,success,"Find the phone number of Alibaba's Hangzhou headquarters on the google map, and based on that, create a new contact named Kevin Zhang with the company.",2,,,,,,2,,1,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/GoogleMapsAlibabaPhoneContactTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/GoogleMapsAlibabaPhoneContactTask/result.txt
GoogleMapsAlibabaSouthNeighborTask,13,1.0,success,Open Google Maps and find which company is directly south of Alibaba Hangzhou headquarters in Binjiang District. ONLY output the company name in English.,8,,,4,,,,4,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/GoogleMapsAlibabaSouthNeighborTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/GoogleMapsAlibabaSouthNeighborTask/result.txt
GraduationMassEmailTask,50,0.0,failure,"Search up the UF academic calendar and find out the week that grades are due in the Spring 2026 semester.Then, set a calendar event at 6pm on the Saturday of that week titled 'Graduation Party'Search my email for the list of students graduating from the math department this year.Send an email to all the graduates with the subject 'Graduation Party' and body 'Don't forget about this year's graduation party! More details coming soon.' ",27,,,11,6,,2,11,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/GraduationMassEmailTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/GraduationMassEmailTask/result.txt
InvoiceReceiptCopyAskUserTask,22,0.0,failure,在Download里找到11月内文件名包含invoice或者receipt的PDF复制进我专门用来收录发票和收据的文件夹。,11,,,,,,10,,10,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/InvoiceReceiptCopyAskUserTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/InvoiceReceiptCopyAskUserTask/result.txt
InvoiceReceiptCopyTask,13,1.0,success,在Download里找到11月内文件名包含invoice或者receipt的PDF复制进Finance/invoice文件夹。,0,,,,,,,,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/InvoiceReceiptCopyTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/InvoiceReceiptCopyTask/result.txt
ItemCheckoutTask,20,0.0,failure,帮我在淘店下单购物车里的iphone 15 pro，寄到浙江省杭州市余杭区阿里巴巴西溪C区，收件人张先生，收件人电话13800138000。如需登录，可以通过短信验证码。在支付页面让我操作,7,,,,,,6,,6,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/ItemCheckoutTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/ItemCheckoutTask/result.txt
LocalFileManagementTask,50,0.0,failure,"I'm running out of space, can you check my files and delete zip files that are older than 1 year in my Download folder. Send myself on mattermost the list of deleted files just for record",49,2,1,13,,,30,13,6,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/LocalFileManagementTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/LocalFileManagementTask/result.txt
LocalFileManagementTask2,50,0.0,failure,"There are too many files in my download folder, can you check my files and compress files that are older than 1 year in a single `old_files.zip` file. Delete the files after compression. Send myself an email with the list of deleted files just for record",45,1,1,20,,,8,20,1,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/LocalFileManagementTask2/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/LocalFileManagementTask2/result.txt
MastodonAddBookmarkTask,37,0.0,failure,"In Mastodon, add all posts of user kitty that have #cats tag to bookmarks.",26,,,8,,,10,8,1,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonAddBookmarkTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonAddBookmarkTask/result.txt
MastodonAddFeaturedHashtagsTask,50,0.0,failure,"On Mastodon, add some hashtags as my featured hashtags in my profile, add the hashtags: summerrain, nature, and photography.",31,1,1,10,7,,8,10,1,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonAddFeaturedHashtagsTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonAddFeaturedHashtagsTask/result.txt
MastodonAdjustTootsTask,50,0.0,failure,"On Mastodon, remove all bookmarks and add them as favorites, and boost all of them.",38,9,5,12,,,6,12,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonAdjustTootsTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonAdjustTootsTask/result.txt
MastodonCalendarMultiMemosTask,27,0.0,failure,"On Mastodon, find lectures in the #openTalk hashtag for the current month, then add the lecture information (time, location, topic) to the calendar events. If the start time is within 10 days, set the reminder time to 1 day before. Otherwise, set the reminder time to 3 days before the start time.",5,,,2,,,,2,,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonCalendarMultiMemosTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonCalendarMultiMemosTask/result.txt
MastodonChangeHeaderTask,7,1.0,success,"On Mastodon, replace my profile header with the tiger photo from my photo gallery.",0,,,,,,,,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonChangeHeaderTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonChangeHeaderTask/result.txt
MastodonChangeLanguageTask,50,0.0,failure,"In Mastodon, set the language of the account to Chinese Simplified.",34,,,9,3,,17,9,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonChangeLanguageTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonChangeLanguageTask/result.txt
MastodonConditionalFavoTask,41,1.0,success,"favorite all toots tagged “#dogs” on Mastodon, but do not add them to my favorite list if they are already in my favorite list or bookmark list.",25,2,2,3,,1,16,3,2,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonConditionalFavoTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonConditionalFavoTask/result.txt
MastodonCreateListTask,24,1.0,success,"Create a list called ""Family,"" only followed users can reply, and add my family members — Alex, Emma, and Jack",4,,,2,,,,2,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonCreateListTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonCreateListTask/result.txt
MastodonCreateMemoTask,47,0.0,failure,"Find information under #openTalk on Mastodon about the topic of Urban Mobility lectures, then create a event on my calendar with time, location, and topic as title, and set a reminder 1 day before.",14,1,1,3,,,5,3,2,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonCreateMemoTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonCreateMemoTask/result.txt
MastodonExportFollowsTask,50,0.0,failure,"In Mastodon, export my follows in settings and save it as my_following.csv.",30,,,12,1,,6,12,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonExportFollowsTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonExportFollowsTask/result.txt
MastodonFavoriteTootsTask,33,1.0,success,"Search for toots tagged “#dogs” on Mastodon, favorite all of them.",14,,,1,1,,11,1,1,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonFavoriteTootsTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonFavoriteTootsTask/result.txt
MastodonFilterLanguageTask,50,0.0,failure,"On Mastodon, set up filters to only show posts in English, Japanese, and Chinese Simplified.",47,,,19,7,,20,19,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonFilterLanguageTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonFilterLanguageTask/result.txt
MastodonFollowTask,50,0.0,failure,"Find Robert's nickname in Contacts, then search it on Mastodon, and follow him.",27,5,4,9,1,,2,9,2,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonFollowTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonFollowTask/result.txt
MastodonGetServerInfoTask,50,0.0,failure,"On mastodon, switch to owner account, then go to settings backend to query the database size, and post a toot to tell the result, use MB as the unit",33,3,2,12,,,9,12,2,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonGetServerInfoTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonGetServerInfoTask/result.txt
MastodonImportMutedUsersTask,20,0.0,failure,"In Mastodon, import my muted list from the file named 'muted_accounts.csv' in the Downloads directory.",7,,,2,,,3,2,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonImportMutedUsersTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonImportMutedUsersTask/result.txt
MastodonInviteTask,50,0.0,failure,"Generate a one-person invite link that expires in one day, auto-follows me, and send it to my friend Leonard by SMS.",22,,,7,4,,7,7,1,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonInviteTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonInviteTask/result.txt
MastodonMallPurchaseCommodityTask,50,0.0,failure,"我在mastodon上关注的jack分享了一个商品,请你在淘店app下单购买2双同款，收货地址为：广东省广州市天河区华景新城，收货人李四，收货人电话13800139999。",8,,,,,,8,,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonMallPurchaseCommodityTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonMallPurchaseCommodityTask/result.txt
MastodonMallShareOrderTask,22,0.0,failure,"在淘店中,找到我的订单中的手表商品,然后在mastodon发布一条推文介绍商品,内容包括商品名称,购买价格和商品图片。",1,,,,,,,,,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonMallShareOrderTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonMallShareOrderTask/result.txt
MastodonManageHashtagsTask,15,1.0,success,"In Mastodon, unfollow the hashtags I followed before related to animals.",0,,,,,,,,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonManageHashtagsTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonManageHashtagsTask/result.txt
MastodonManageMultiListTask,44,0.0,failure,"View my lists on Mastodon, delete all previously created lists, and create two new lists. One list named 'open' should allow only I followed users to reply and add users, whose username contains 'open'. Another list named 'cute' should allow only members of the list to reply, enable hide members in following, and add users, whose avatar is a dog or cat.",16,2,2,5,,,2,5,,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonManageMultiListTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonManageMultiListTask/result.txt
MastodonMattermostPostNoticeTask,19,1.0,success,"Please help me sync the Security announcement from mike in the announcement channel on mattermost to mastodon, do not change the original content, the announcement is only visible to followers, and also @openCompany account.",0,,,,,,,,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonMattermostPostNoticeTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonMattermostPostNoticeTask/result.txt
MastodonMultiInviteTask,50,0.0,failure,"Generate two invite links with different conditions. One with validity days of 1 day and max uses of 1, send it to my friend Leonard by SMS. Another with validity days of 7 days and auto-follow me, send it to my friend Ella by SMS.",24,2,2,4,4,,12,4,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonMultiInviteTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonMultiInviteTask/result.txt
MastodonNewFilterTask,50,0.0,failure,"Add a new filter called “Anti-Spoiler-BCS”, use all the words from the text file named filter_BCS in the documents folder as blocked keywords, and set it to expire 5 days from today.",9,1,,4,,,3,4,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonNewFilterTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonNewFilterTask/result.txt
MastodonNewPostTask,6,1.0,success,Open Mastodon app and post a new toot with the content 'Hello from AI agent!',0,,,,,,,,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonNewPostTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonNewPostTask/result.txt
MastodonOpenAutomatedDeletionTask,8,0.0,failure,"In Mastodon, enable automatically delete old posts, only set pinned posts as expected, and set the age threshold to 7 days, Keep posts with at least 20 favs or 20 reblogs.",3,,,1,,,1,1,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonOpenAutomatedDeletionTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonOpenAutomatedDeletionTask/result.txt
MastodonPinTootsTask,47,0.0,failure,"In Mastodon, pin the first post I published after creating the account to the top.",69,2,,30,17,,24,30,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonPinTootsTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonPinTootsTask/result.txt
MastodonPostEditedPhotoTask,20,0.0,failure,"Select a random photo from the gallery, crop it to a 9:16 ratio, and post it with the tag #onePhoto.",9,1,,4,,,,4,,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonPostEditedPhotoTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonPostEditedPhotoTask/result.txt
MastodonPostPollTask,32,0.0,failure,"Search on Google for the '2025 Nobel Prize in Economics' and use the names of the winners as the poll options. Post a poll on Mastodon with the hashtag '#vote2025', allowing multiple selections and lasting for one week.",9,1,,2,,,5,2,1,1,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonPostPollTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonPostPollTask/result.txt
MastodonRemoveBookmarkTask,4,0.0,failure,"In Mastodon, remove the posts with #pets tag from bookmarks on my account.",2,,,1,,,,1,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonRemoveBookmarkTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonRemoveBookmarkTask/result.txt
MastodonReplyTask,31,1.0,success,"Reply to the toot of gourmet user about Greek food Moussaka, and the reply content should be 'Nice sharing, i love it'.",12,1,1,5,,,,5,,,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonReplyTask/traj.json,/Users/apigo/Desktop/Projects/QR-MW/traj_logs/seed_baseline/MastodonReplyTask/result.txt
